Player_initial_last,tournament id,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,player,tournament name,date,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
A. Cook,401056500,9517,87,12,87.2,12.8,Austin Cook,CIMB Classic,10/14/2018,2019,13,6,5,105,105,0,1,"TPC Kuala Lumpur - Kuala Lumpur, Malaysia",NA,NA,NA,NA,NA,NA,NA,NA
A. Cook,401056501,9517,71.5,0,63.7,29.2,Austin Cook,The CJ Cup @ Nine Bridges,10/21/2018,2019,41,1,0,72.5,92.9,0,1,"Nine Bridges - Seoul, South Korea",NA,NA,NA,NA,NA,NA,NA,NA
A. Cook,401056504,9517,30,3,24.3,10.2,Austin Cook,Shriners Hospital for Children Open,11/4/2018,2019,NA,0,0,33,34.5,0,0,"TPC Summerlin - Las Vegas, NV",CUT,1,-0.57,-1.27,0.09,0,-1.19,-1.76
A. Cook,401056506,9517,77,15,76.8,17.7,Austin Cook,The RSM Classic,11/18/2018,2019,11,6,5,98,99.5,0,1,"Sea Island - Sea Island, GA",T11,-14,-1.32,-0.3,1.82,0.54,2.06,0.74
A. Cook,401056513,9517,12.5,0,6.2,0,Austin Cook,Waste Management Phoenix Open,2/3/2019,2019,NA,0,0,12.5,6.2,0,0,"TPC Scottsdale - Scottsdale, AZ",CUT,9,-0.87,-0.26,-1.93,-1.94,-4.12,-5
A. Cook,401056514,9517,37.5,0,33.2,4.6,Austin Cook,AT&T Pebble Beach Pro-Am,2/11/2019,2019,NA,0,0,37.5,37.8,0,0,"Spyglass Hill - Pebble Beach, CA",MDF,-2,2.52,-2.44,0.57,-0.44,-2.31,0.21
A. Cook,401056520,9517,26.5,0,22.6,0.6,Austin Cook,The Honda Classic,3/3/2019,2019,NA,0,0,26.5,23.2,0,0,"PGA National - Palm Beach Gardens, FL",MDF,5,0.26,-0.6,-0.49,0.16,-0.93,-0.67
A. Cook,401056521,9517,27,0,22.2,19.6,Austin Cook,Arnold Palmer Invitational Pres. by Mastercard,3/10/2019,2019,NA,0,0,27,41.8,0,0,"Bay Hill - Orlando, FL",CUT,2,-0.27,-0.83,0.49,0.13,-0.21,-0.48
A. Cook,401056522,9517,32,0,23.7,10.6,Austin Cook,The Players Championship,3/17/2019,2019,NA,0,0,32,34.3,0,0,"TPC Sawgrass - Ponte Vedra Beach, FL",CUT,3,-2.86,0.27,-0.37,1.04,0.94,-1.92
A. Cook,401056523,9517,67.5,3,61.3,21.6,Austin Cook,Valspar Championship,3/24/2019,2019,9,8,7,78.5,89.9,0,1,"Innisbrook - Palm Harbor, FL",T9,-4,1.06,0.19,0.49,0.17,0.85,1.91
A. Cook,401056526,9517,27,0,19.8,19.6,Austin Cook,Valero Texas Open,4/7/2019,2019,NA,0,0,27,39.4,0,0,"TPC San Antonio - San Antonio, TX",CUT,5,-1.13,-0.42,-0.42,-1.05,-1.89,-3.02
A. Cook,401056528,9517,28.5,0,23.3,19,Austin Cook,RBC Heritage,4/21/2019,2019,NA,0,0,28.5,42.3,0,0,"Harbour Town - Hilton Head, SC",CUT,2,0.82,-0.73,-1.7,0.68,-1.75,-0.93
A. Cook,401056548,9517,64.5,3,57.8,10.2,Austin Cook,John Deere Classic,7/14/2019,2019,67,0,0,67.5,68,0,1,"TPC Deere Run - Silvis, IL",T67,-3,-0.8,-0.52,-0.16,0.59,-0.09,-0.89
A. Cook,401056549,9517,24,0,17.6,5.6,Austin Cook,Travelers Championship,6/23/2019,2019,NA,0,0,24,23.2,0,0,"TPC River Highlands - Cromwell, CT",CUT,4,-1.07,-0.56,-0.7,-0.18,-1.44,-2.52
A. Cook,401056551,9517,19.5,0,14.4,5.6,Austin Cook,AT&T Byron Nelson,5/12/2019,2019,NA,0,0,19.5,20,0,0,"Trinity Forest - Dallas, TX",CUT,5,-1.7,-0.78,-0.95,0.28,-1.44,-3.14
A. Cook,401056553,9517,61.5,0,54.5,20.2,Austin Cook,Charles Schwab Challenge,5/26/2019,2019,19,5,4,66.5,78.7,0,1,"Colonial - Ft. Worth, TX",T19,-2,0.52,0.92,-0.52,0.4,0.81,1.33
A. Cook,401056554,9517,68.5,9,62.9,18.4,Austin Cook,The Memorial Tournament pres. by Nationwide,6/2/2019,2019,27,3,2,80.5,83.3,0,1,"Muirfield Village - Dublin, OH",T27,-4,0.27,0.27,0.48,0.03,0.78,1.06
